SMILES,HOMO,LUMO,S1,S2
CC(C)(C)c1cccc(N2c3cc4c(cc3B3c5sc6ccccc6c5N(c5cccc(C(C)(C)C)c5)c5cccc2c53)nc(-c2cccc3sc5ccccc5c23)n4-c2cccc(C(C)(C)C)c2)c1,-4.80694055557251,-1.7175984382629395,2.3706912994384766,2.8431100845336914
CC(C)(C)c1ccc(N2c3cccc4c3B(c3cc(N(c5ccc(C(C)(C)C)cc5)c5ccc(C(C)(C)C)cc5)c5c(oc6ccccc65)c3N4c3ccc(C(C)(C)C)cc3)c3c2cc(N(c2ccc(C(C)(C)C)cc2)c2ccc(C(C)(C)C)cc2)c2c3oc3ccccc32)cc1,-4.770181655883789,-1.6575874090194702,2.5054850578308105,2.8494491577148438
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)ccc3B3c4sc5cc(N(c6ccccc6)c6ccccc6)ccc5c4N(c4cccc5c4oc4ccccc45)c4cccc2c43)c1,-4.805689811706543,-1.5210565328598022,2.4253952503204346,2.8868257999420166
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)cc4c3B(c3cc(C(C)(C)C)ccc3N4c3ccc4c(c3)oc3ccccc34)c3sc4ccc(N(c5ccccc5)c5ccccc5)cc4c32)c1,-4.886443138122559,-1.5856696367263794,2.4524364471435547,2.836137294769287
CC(C)(C)c1cccc(N2c3cccc4c3B(c3ccc(N(c5ccccc5)c5ccccc5)cc3N4c3cccc4c3oc3ccccc34)c3sc4c(N(c5ccccc5)c5ccccc5)cccc4c32)c1,-4.889369010925293,-1.530129313468933,2.5044164657592773,2.924421787261963
CC(C)(C)c1cccc(N2c3cc4c(cc3B3c5sc6ccccc6c5N(c5cccc(C(C)(C)C)c5)c5cc(-n6c7ccccc7c7ccccc76)cc2c53)nc(-c2cccc3c2oc2ccccc23)n4-c2cccc(C(C)(C)C)c2)c1,-4.932401657104492,-1.7800953388214111,2.410533905029297,2.84549617767334
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)cc4c3B(c3cc(C(C)(C)C)ccc3N4c3cccc4c3oc3ccccc34)c3sc4cc(N(c5ccccc5)c5ccccc5)ccc4c32)c1,-4.825891971588135,-1.5117264986038208,2.4872853755950928,2.8944039344787598
CC(C)(C)c1ccc(-c2nc3cc4c(cc3n2-c2cccc(C(C)(C)C)c2)N(c2cccc(C(C)(C)C)c2)c2cc(-n3c5ccccc5c5ccccc53)cc3c2B4c2sc4ccccc4c2N3c2cccc(C(C)(C)C)c2)cc1,-4.877078533172607,-1.698330044746399,2.5096213817596436,2.923185348510742
CC(C)(C)c1cccc(N2c3cccc4c3B(c3cc5nc(-c6cccc7ccccc67)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3ccc(C(F)(F)F)cc3)c3sc4ccccc4c32)c1,-4.961609840393066,-1.9051692485809326,1.9884307384490967,2.6211612224578857
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)cc4c3B(c3ccc(N(c5ccccc5)c5ccccc5)cc3N4c3ccc4c(c3)oc3ccccc34)c3sc4ccc(C(C)(C)C)cc4c32)c1,-4.870858192443848,-1.5280338525772095,2.525240182876587,2.9088401794433594
CC(C)(C)c1cccc(N2c3cccc4c3B(c3cc5nc(-c6cccc7sc8ccccc8c67)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3cccc4c3c3ccccc3n4-c3ccccc3)c3sc4ccccc4c32)c1,-4.5648369789123535,-1.718327522277832,2.224374532699585,2.589319944381714
CC(C)(C)c1ccc(-c2nc3cc4c(cc3n2-c2cccc(C(C)(C)C)c2)N(c2ccc3c(c2)oc2ccccc23)c2cccc3c2B4c2sc4ccccc4c2N3c2cccc(C(C)(C)C)c2)cc1,-4.7707953453063965,-1.675769567489624,2.332463026046753,2.8391730785369873
CC(C)(C)c1cccc(N2c3cccc4c3B(c3cc5nc(-c6ccc7sc8ccccc8c7c6)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3ccc(C(F)(F)F)cc3)c3sc4ccccc4c32)c1,-4.971056938171387,-1.8872166872024536,2.079996109008789,2.6671271324157715
