SMILES,HOMO,LUMO,S1,T1
C1=C(c2cccc3sccc23)B2c3ccc4c(-c5cccc6sc7ccccc7c56)c(-c5cccc6oc7ccccc7c56)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.937376022338867,-1.8478877544403076,2.5468568801879883,1.7959622144699097
C1=C(c2cccc3sccc23)B2c3ccc4c(-c5ccc6sc7ccccc7c6c5)c(-c5cccc6oc7ccccc7c56)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.999995708465576,-1.8210071325302124,2.620626926422119,1.8009364604949951
C1=C(c2cccc3sccc23)B2c3ccc4c(-c5cccc6sc7ccccc7c56)c(-c5ccc6oc7ccccc7c6c5)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.990334987640381,-1.8261500597000122,2.5799098014831543,1.7989823818206787
C1=C(c2cccc3sccc23)B2c3ccc4c(-c5ccc6sc7ccccc7c6c5)c(-c5ccc6oc7ccccc7c6c5)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.984099388122559,-1.779689073562622,2.6383509635925293,1.8200340270996094
C1=C(c2ccc3sccc3c2)B2c3ccc4c(-c5cccc6sc7ccccc7c56)c(-c5cccc6oc7ccccc7c56)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.917879104614258,-1.8335158824920654,2.5547609329223633,1.793830394744873
C1=C(c2ccc3sccc3c2)B2c3ccc4c(-c5ccc6sc7ccccc7c6c5)c(-c5cccc6oc7ccccc7c56)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.938605785369873,-1.7942461967468262,2.602423906326294,1.802624225616455
C1=C(c2ccc3sccc3c2)B2c3ccc4c(-c5cccc6sc7ccccc7c56)c(-c5ccc6oc7ccccc7c6c5)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.974614143371582,-1.7928950786590576,2.5988311767578125,1.787523865699768
C1=C(c2ccc3sccc3c2)B2c3ccc4c(-c5ccc6sc7ccccc7c6c5)c(-c5ccc6oc7ccccc7c6c5)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.9866461753845215,-1.7725847959518433,2.6632602214813232,1.7904551029205322
C1=C(c2ccc3ccsc3c2)B2c3ccc4c(-c5cccc6sc7ccccc7c56)c(-c5cccc6oc7ccccc7c56)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.919284343719482,-1.846024513244629,2.5561978816986084,1.7923203706741333
C1=C(c2ccc3ccsc3c2)B2c3ccc4c(-c5ccc6sc7ccccc7c6c5)c(-c5cccc6oc7ccccc7c56)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.981025218963623,-1.8043142557144165,2.635955810546875,1.8008476495742798
C1=C(c2ccc3ccsc3c2)Nc2c3c(cc4ccc5ccccc5c24)Nc2c4c(-c5ccc6sc7ccccc7c6c5)c(-c5cccc6oc7ccccc7c56)oc4ccc=2B13,-5.046982288360596,-1.8526276350021362,2.595957040786743,1.8264294862747192
C1=C(c2ccc3ccsc3c2)B2c3ccc4c(-c5cccc6sc7ccccc7c56)c(-c5ccc6oc7ccccc7c6c5)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.974965572357178,-1.808585524559021,2.5811073780059814,1.778197169303894
C1=C(c2ccc3ccsc3c2)B2c3ccc4c(-c5ccc6sc7ccccc7c6c5)c(-c5ccc6oc7ccccc7c6c5)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.9902472496032715,-1.7690109014511108,2.659667491912842,1.790632724761963
C1=C(c2cccc3ccsc23)B2c3ccc4c(-c5cccc6sc7ccccc7c56)c(-c5cccc6oc7ccccc7c56)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.94440221786499,-1.819132924079895,2.55979061126709,1.8049336671829224
C1=C(c2cccc3ccsc23)B2c3ccc4c(-c5ccc6sc7ccccc7c6c5)c(-c5cccc6oc7ccccc7c56)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.991652488708496,-1.776289463043213,2.626375198364258,1.805999517440796
C1=C(c2cccc3ccsc23)B2c3ccc4c(-c5cccc6sc7ccccc7c56)c(-c5ccc6oc7ccccc7c6c5)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-4.961264610290527,-1.7942026853561401,2.5641019344329834,1.7953405380249023
C1=C(c2cccc3ccsc23)B2c3ccc4c(-c5ccc6sc7ccccc7c6c5)c(-c5ccc6oc7ccccc7c6c5)oc4c=3Nc3c2c(cc2cc4ccccc4cc32)N1,-5.0117645263671875,-1.7568072080612183,2.6498475074768066,1.8100855350494385
C1=C(c2cccc3sccc23)Nc2cc3cc4ccccc4cc3c3c2B1c1ccc2oc(-c4cccc5oc6ccccc6c45)c(-c4cccc5sc6ccccc6c45)c2c=1N3,-4.991125106811523,-1.91148841381073,2.5308096408843994,1.767538070678711
C1=C(c2cccc3sccc23)Nc2cc3cc4ccccc4cc3c3c2B1c1ccc2oc(-c4cccc5oc6ccccc6c45)c(-c4ccc5sc6ccccc6c5c4)c2c=1N3,-5.031876087188721,-1.8888897895812988,2.5961966514587402,1.7623862028121948
C1=C(c2cccc3sccc23)Nc2cc3cc4ccccc4cc3c3c2B1c1ccc2oc(-c4ccc5oc6ccccc6c5c4)c(-c4cccc5sc6ccccc6c45)c2c=1N3,-5.046630859375,-1.8872880935668945,2.560748815536499,1.7551913261413574
C1=C(c2cccc3sccc23)Nc2cc3cc4ccccc4cc3c3c2B1c1ccc2oc(-c4ccc5oc6ccccc6c5c4)c(-c4ccc5sc6ccccc6c5c4)c2c=1N3,-5.04838752746582,-1.8800313472747803,2.585179090499878,1.7470192909240723
C1=C(c2ccc3ccsc3c2)Nc2c3c(cc4ccc5ccccc5c24)Nc2c4c(-c5cccc6sc7ccccc7c56)c(-c5ccc6oc7ccccc7c6c5)oc4ccc=2B13,-5.021600723266602,-1.8767188787460327,2.5585930347442627,1.784503698348999
C1=C(c2ccc3sccc3c2)Nc2cc3cc4ccccc4cc3c3c2B1c1ccc2oc(-c4cccc5oc6ccccc6c45)c(-c4cccc5sc6ccccc6c45)c2c=1N3,-5.008690357208252,-1.8827662467956543,2.551407814025879,1.7857472896575928
C1=C(c2ccc3sccc3c2)Nc2cc3cc4ccccc4cc3c3c2B1c1ccc2oc(-c4cccc5oc6ccccc6c45)c(-c4ccc5sc6ccccc6c5c4)c2c=1N3,-4.993320941925049,-1.8638737201690674,2.57655668258667,1.7827272415161133
C1=C(c2ccc3sccc3c2)Nc2cc3cc4ccccc4cc3c3c2B1c1ccc2oc(-c4ccc5oc6ccccc6c5c4)c(-c4cccc5sc6ccccc6c45)c2c=1N3,-5.020107746124268,-1.8535211086273193,2.5674550533294678,1.772423505783081
C1=C(c2ccc3sccc3c2)Nc2cc3cc4ccccc4cc3c3c2B1c1ccc2oc(-c4ccc5oc6ccccc6c5c4)c(-c4ccc5sc6ccccc6c5c4)c2c=1N3,-5.037848472595215,-1.8433440923690796,2.6064956188201904,1.7631856203079224
C1=C(c2ccc3ccsc3c2)Nc2cc3cc4ccccc4cc3c3c2B1c1ccc2oc(-c4cccc5oc6ccccc6c45)c(-c4cccc5sc6ccccc6c45)c2c=1N3,-5.024059772491455,-1.9192028045654297,2.5336837768554688,1.7924091815948486
